attendancePercentage,internalMarks,assignmentScore,cgpa,backlogCount,previousSemesterPerformance,feeStatus,familyIncomeCategory,internetAccess,extracurricularParticipation,previousCounsellingCount,dropoutRisk
55.8,56.5,50.9,7.37,0,71.5,0,2,1,2,0,1
72.4,93.4,50.2,9.47,2,88.1,2,1,1,1,0,0
77.2,66.9,71.7,7.65,0,72.3,0,2,1,1,0,0
84.3,63.3,73.6,6.85,3,59.7,0,0,1,0,1,1
87.8,51.2,83.9,6.79,0,38.7,1,2,1,0,1,1
54.8,32.8,54.3,5.01,1,40.6,1,2,1,1,0,1
47.4,67.2,46.5,8.44,0,68.1,2,1,1,1,1,1
98.0,59.3,74.9,7.09,1,54.9,0,2,1,2,0,0
81.0,50.5,72.4,6.95,1,61.4,2,0,1,0,0,1
61.5,84.9,65.5,10.0,0,82.1,1,2,1,2,0,0
100.0,51.2,73.6,7.62,1,60.2,1,2,1,1,0,0
77.1,43.3,69.8,6.15,2,46.8,0,1,1,1,0,1
96.2,61.5,84.7,6.6,1,52.8,0,1,0,1,1,0
76.2,79.7,61.2,8.81,2,83.3,2,0,1,2,0,0
100.0,59.4,79.1,7.36,0,59.2,0,1,1,0,0,0
100.0,35.9,87.3,5.19,2,42.9,0,1,0,2,1,1
70.5,63.9,53.0,8.49,0,69.7,0,1,1,0,1,0
92.5,50.3,83.2,6.26,0,57.5,0,1,1,0,0,0
86.6,88.6,66.7,9.82,2,86.8,0,2,1,1,3,0
99.6,81.5,95.4,8.71,1,53.4,0,0,1,1,0,0
57.6,51.9,78.7,6.57,1,64.7,1,2,1,1,1,1
87.3,67.2,67.5,8.99,0,87.0,0,2,1,1,1,0
94.1,64.2,86.2,7.29,1,56.0,0,1,1,1,0,0
43.3,64.8,38.1,8.39,1,65.3,0,0,1,0,1,1
53.7,62.8,63.0,7.88,1,64.9,0,0,1,2,2,1
38.3,61.7,29.2,6.02,1,47.8,0,0,1,0,0,1
70.2,60.2,68.9,6.3,3,57.0,0,1,1,2,1,1
87.9,74.7,67.8,8.64,0,60.5,0,1,1,0,1,0
100.0,47.0,82.9,6.73,0,51.0,2,2,1,1,0,0
76.3,58.1,58.1,6.63,1,68.9,0,1,1,1,0,1
100.0,58.3,93.2,5.86,1,45.4,0,1,1,0,0,0
50.2,63.2,41.7,7.79,0,76.0,0,1,1,0,1,1
44.3,95.8,51.6,10.0,1,87.5,0,2,1,0,1,0
74.0,58.8,63.4,5.71,0,38.0,1,2,1,0,0,1
81.9,74.8,71.2,7.23,1,67.3,1,2,1,0,0,1
74.4,80.4,68.6,9.18,2,77.6,0,1,1,1,0,0
37.8,65.0,33.8,7.09,0,58.5,0,1,1,1,0,1
73.4,77.9,68.5,7.83,1,69.4,0,2,1,1,0,0
51.5,52.1,66.4,5.71,4,54.0,0,1,1,2,0,1
87.1,62.3,68.2,7.8,0,72.4,2,0,1,1,0,0
81.6,55.4,83.8,6.94,1,68.8,0,0,1,1,0,1
58.1,74.8,70.6,8.58,1,76.5,0,0,1,1,0,1
65.8,65.0,52.9,8.86,0,66.3,0,1,1,1,0,0
55.9,83.9,39.6,10.0,1,81.7,0,0,0,1,0,1
73.9,76.9,69.7,8.01,4,89.7,0,0,1,0,1,1
92.2,47.5,74.1,7.66,1,71.3,0,0,1,2,1,0
57.3,75.8,73.8,7.47,1,81.4,1,1,1,1,1,1
84.1,66.0,74.2,6.71,1,68.4,0,1,1,0,1,1
65.5,61.5,52.8,7.67,1,68.1,0,1,1,1,1,1
60.7,62.0,46.0,6.79,1,61.4,0,0,1,0,0,1
73.1,63.2,77.1,7.44,3,64.2,2,0,1,0,1,1
56.4,86.7,48.7,9.04,1,65.2,0,1,0,0,1,1
65.0,57.1,61.0,5.79,1,51.5,1,1,1,1,0,1
53.4,63.6,62.0,8.8,2,83.8,1,0,1,1,1,1
100.0,81.6,80.2,9.04,0,73.2,2,0,1,1,0,0
75.6,58.1,67.5,7.03,1,64.2,0,2,0,0,1,1
62.4,36.6,58.5,4.23,1,44.8,0,1,1,1,1,1
78.9,48.1,77.0,6.35,0,49.4,0,0,1,1,0,1
73.0,90.6,72.0,9.02,3,74.0,0,0,1,0,0,1
71.0,69.2,62.5,7.17,2,55.2,0,2,1,1,0,1
86.1,43.4,75.9,5.8,2,45.7,0,1,1,0,1,1
88.6,44.5,73.3,6.49,0,47.9,2,1,1,0,0,1
65.5,68.1,46.0,8.38,1,65.7,0,1,1,1,0,1
64.6,71.2,62.8,7.97,1,78.7,0,1,1,1,2,1
70.0,60.3,83.0,6.87,2,53.5,0,1,1,0,0,1
33.6,66.9,29.7,6.69,0,59.4,0,1,1,0,1,1
47.7,62.9,40.7,6.65,0,54.7,0,1,1,0,0,1
99.6,58.0,76.0,5.91,2,60.5,0,0,1,0,0,1
100.0,83.0,92.2,9.46,1,89.9,0,2,1,0,0,0
70.5,46.2,68.8,6.75,2,65.0,0,1,1,0,0,1
85.4,74.1,73.2,8.9,1,78.4,2,0,0,1,1,0
80.6,87.8,62.2,9.33,0,78.0,1,2,1,1,0,0
100.0,72.7,85.9,8.6,0,65.4,2,2,1,1,2,0
95.2,60.1,66.0,6.6,0,71.4,0,2,1,1,0,0
72.7,63.5,67.3,7.77,1,61.8,0,2,1,0,0,1
57.8,52.7,64.2,7.17,1,67.0,0,2,1,0,0,1
46.1,49.5,34.7,5.93,0,59.9,0,0,1,2,0,1
78.7,67.5,54.7,7.65,2,62.3,0,2,1,0,0,1
61.4,41.9,73.8,5.55,2,56.7,0,2,1,0,0,1
49.4,73.4,43.5,8.86,1,81.3,0,0,0,0,0,1
63.4,48.2,70.7,6.55,0,69.5,0,0,0,1,0,1
55.5,72.5,52.3,7.48,1,61.6,1,2,1,1,0,1
100.0,62.2,83.4,7.6,2,56.8,0,0,0,2,1,0
90.9,69.7,83.0,6.84,1,56.2,0,2,0,2,0,0
74.9,80.4,58.6,8.02,3,70.6,0,0,1,1,0,1
100.0,54.9,86.3,6.54,3,57.7,0,0,1,0,0,1
76.4,63.5,64.7,8.42,0,69.6,0,1,1,0,0,0
59.5,28.5,43.4,5.32,0,34.2,0,0,1,0,0,1
100.0,50.9,88.4,7.38,0,67.3,0,1,1,0,2,0
84.7,73.3,71.7,9.91,2,98.1,1,1,1,0,1,0
56.3,60.3,52.9,5.8,0,54.6,1,0,1,0,0,1
71.6,54.1,53.0,6.25,1,59.3,0,0,1,0,1,1
59.2,70.4,72.4,7.92,2,72.4,0,1,1,0,1,1
50.1,45.6,58.8,7.45,0,67.4,0,0,1,2,0,1
91.7,55.8,88.8,7.69,0,73.0,1,1,1,1,1,0
100.0,74.1,81.9,7.88,3,70.8,0,1,0,2,0,0
49.8,71.0,32.6,8.09,1,67.5,0,0,1,0,0,1
85.1,73.2,94.1,8.75,1,69.5,0,1,0,1,0,0
63.3,70.6,58.7,7.77,0,65.4,0,0,1,0,2,1
66.2,71.4,53.9,6.86,1,62.1,1,0,1,0,0,1
64.3,67.4,64.2,8.14,0,67.9,0,0,1,0,1,1
59.4,84.4,68.3,9.86,0,86.1,0,2,0,2,0,0
75.9,61.2,67.9,7.01,3,64.2,0,2,0,2,0,1
60.0,68.7,69.8,5.84,1,57.5,0,2,1,0,1,1
79.9,57.6,81.7,8.75,1,84.0,1,1,1,0,0,0
74.1,65.2,56.1,7.03,1,61.8,1,0,1,1,0,1
70.7,34.4,57.8,4.16,0,29.1,0,1,1,0,0,1
58.7,75.8,65.6,8.39,0,69.7,0,1,1,0,0,0
64.6,49.6,33.1,6.45,1,56.9,0,2,1,0,0,1
88.6,59.7,75.5,7.07,0,48.7,0,0,0,1,0,0
84.0,70.8,59.5,7.66,2,76.0,0,0,0,0,0,1
57.4,88.4,50.4,7.47,4,65.7,0,1,1,0,0,1
76.8,76.1,65.8,8.19,1,73.2,0,2,1,0,2,0
88.5,49.2,73.4,6.59,2,67.3,0,2,0,1,0,1
45.0,63.9,40.9,7.92,0,63.9,0,1,1,2,0,1
84.8,54.5,63.4,6.84,1,63.7,1,2,1,0,1,1
63.1,55.6,82.1,8.23,2,70.1,0,1,1,2,0,1
85.3,65.9,93.4,8.06,3,68.2,0,2,1,1,1,0
61.3,55.9,46.3,5.89,1,46.7,0,2,1,2,1,1
42.5,63.9,60.6,8.72,0,86.4,0,2,1,1,0,1
45.7,63.2,43.0,6.45,0,54.0,0,1,1,1,0,1
75.9,74.7,69.4,8.33,1,76.5,0,0,0,2,2,0
79.7,59.7,70.1,7.71,1,53.6,1,1,1,0,0,1
58.7,81.9,49.5,9.77,0,91.4,0,1,0,1,0,0
86.5,71.3,85.4,6.89,1,67.5,0,2,1,2,0,0
45.1,62.9,47.8,6.71,1,59.4,0,0,1,1,0,1
73.8,61.0,61.9,7.17,1,60.8,0,0,1,2,0,1
53.2,55.7,39.2,6.78,0,62.0,0,1,1,1,0,1
63.3,71.3,50.4,8.32,0,87.6,0,0,1,2,1,0
75.9,37.9,51.7,4.94,2,32.2,0,1,1,1,0,1
59.5,31.8,56.8,5.72,2,56.3,0,1,1,1,0,1
68.1,64.8,50.7,5.71,2,44.3,0,1,1,1,1,1
93.1,73.8,77.5,8.53,1,73.1,0,0,1,2,1,0
64.6,84.7,73.9,9.59,4,80.0,0,2,1,1,2,1
90.0,59.5,90.0,7.05,1,58.4,0,1,1,1,1,0
54.7,53.3,52.9,6.96,0,60.6,0,2,1,1,0,1
84.5,60.5,73.3,7.3,2,55.4,1,1,1,0,0,1
100.0,62.2,100.0,8.83,1,82.8,0,0,1,0,0,0
30.5,68.4,41.6,5.9,1,39.7,2,0,0,2,1,1
60.7,54.2,54.2,7.53,2,69.0,0,0,0,1,0,1
85.4,64.5,60.5,8.57,1,71.2,2,1,0,0,0,0
71.3,63.6,68.9,7.9,2,60.0,0,0,1,0,0,1
81.7,73.8,80.5,7.47,1,66.1,0,1,1,1,1,0
64.1,73.2,53.6,8.6,0,62.9,0,1,1,1,1,0
76.6,20.0,71.5,3.42,2,32.6,0,0,1,1,0,1
72.2,79.3,61.9,8.15,0,60.2,0,0,1,1,1,0
96.0,59.3,80.4,6.28,1,58.5,0,1,1,0,0,1
79.6,43.7,45.8,4.64,0,35.6,0,2,1,0,0,1
81.1,73.0,69.5,7.92,2,65.2,1,0,1,0,0,1
67.6,96.7,72.0,9.12,1,80.0,0,0,1,1,1,0
66.2,77.0,55.0,7.01,0,55.7,1,2,0,0,0,1
67.2,67.0,62.6,8.53,2,72.9,0,0,1,1,0,1
82.1,93.4,64.9,9.46,1,70.1,0,2,1,1,0,0
67.4,79.9,65.8,9.04,1,81.7,0,0,1,1,3,0
80.2,84.7,69.0,9.5,4,93.3,0,2,1,2,0,0
100.0,56.5,75.6,8.24,1,90.5,0,1,1,0,0,0
90.7,60.7,91.8,7.31,1,64.1,1,2,1,1,1,0
69.1,35.6,72.7,4.96,1,50.2,0,1,1,0,0,1
96.6,64.9,76.6,6.86,1,47.4,0,1,0,0,1,0
67.7,59.7,67.3,6.02,1,63.7,1,0,1,1,0,1
38.3,68.4,47.2,10.0,0,90.4,0,0,1,0,0,1
56.9,58.9,61.2,6.95,2,57.2,2,1,1,1,0,1
41.3,71.6,27.0,7.37,1,72.6,2,1,1,1,0,1
68.7,66.3,73.1,7.97,2,67.0,0,2,1,0,0,1
75.3,67.6,62.0,7.26,2,59.9,0,1,1,0,0,1
100.0,84.2,81.4,9.57,0,84.9,0,2,1,1,0,0
80.9,56.5,98.0,6.33,0,48.2,1,1,1,1,1,1
71.1,61.3,67.8,7.47,0,71.9,0,2,1,1,1,0
89.9,42.6,74.1,6.16,1,46.9,0,2,1,1,0,1
35.2,36.5,20.0,5.35,0,40.5,1,1,1,1,1,1
79.2,59.6,84.4,6.34,4,49.4,0,2,1,1,0,1
88.9,60.9,63.8,7.15,1,67.5,1,2,1,0,1,1
48.4,55.0,38.8,6.6,2,53.5,0,0,0,1,0,1
95.6,49.6,78.6,6.23,1,45.4,0,1,1,1,0,1
81.1,42.0,85.9,5.23,2,42.6,1,0,1,1,1,1
67.5,68.6,70.0,7.08,1,61.4,0,2,1,1,0,1
86.4,40.6,73.9,5.09,1,37.5,0,0,1,2,0,1
100.0,59.5,88.1,8.26,3,63.1,0,0,1,0,0,0
78.3,68.1,63.8,7.32,2,78.3,0,1,1,2,0,1
79.5,42.2,72.0,5.16,1,40.3,0,1,1,1,0,1
66.7,57.8,62.4,6.77,1,56.9,2,2,1,1,0,1
59.7,65.1,66.5,6.15,0,51.6,0,2,1,0,0,1
89.9,64.8,87.6,7.65,1,63.2,0,1,1,0,0,0
59.6,79.5,61.7,9.08,1,82.0,0,0,1,1,1,0
76.3,29.5,64.8,4.57,2,48.2,0,1,1,1,0,1
66.4,60.8,68.9,7.36,0,61.7,2,1,1,0,0,1
83.6,64.2,72.6,6.98,1,52.2,1,1,0,1,2,1
81.0,56.7,60.9,8.14,3,79.0,0,1,1,0,0,1
93.7,65.3,76.5,7.5,3,64.3,0,1,0,2,1,1
65.8,53.1,61.9,6.15,2,66.3,0,1,1,2,0,1
70.1,57.7,73.2,6.75,3,43.3,0,1,1,0,0,1
57.4,60.0,53.3,6.09,2,55.1,0,1,0,2,2,1
67.0,76.7,49.8,8.71,0,88.1,0,2,1,2,1,0
81.8,73.3,72.8,7.23,2,60.4,2,1,1,0,0,1
88.6,75.9,78.2,9.86,0,82.3,0,0,1,1,0,0
58.4,61.6,57.7,7.12,1,64.0,1,2,1,1,1,1
90.7,53.4,87.7,6.21,1,50.8,0,1,1,1,1,1
99.4,34.6,94.8,5.08,0,43.5,0,0,1,0,0,1
82.4,47.4,66.8,4.68,0,40.0,1,1,1,0,0,1
100.0,60.9,78.8,4.98,1,40.5,0,1,0,1,0,1
61.1,64.2,47.3,7.57,1,74.2,1,2,1,0,1,1
52.6,71.3,58.8,7.91,1,71.5,0,1,1,1,0,1
43.0,43.1,59.6,4.99,1,46.6,0,1,1,0,0,1
100.0,66.1,81.8,8.45,1,78.3,1,0,1,1,0,0
86.8,40.9,73.3,6.52,0,55.3,0,1,1,2,0,1
74.0,57.3,81.5,7.41,2,58.8,1,2,1,1,0,1
80.0,69.2,76.1,9.46,2,76.4,2,2,1,1,1,0
54.7,85.5,57.7,8.46,0,72.7,0,0,1,2,0,0
100.0,57.1,73.1,6.82,0,52.2,0,0,1,2,0,0
77.3,47.8,75.9,5.95,0,49.1,0,1,1,0,0,1
77.0,42.7,59.6,4.19,2,34.9,0,1,1,1,0,1
88.1,43.7,65.3,6.19,2,69.4,1,1,1,2,0,1
83.7,52.6,70.1,6.9,0,40.8,0,1,1,0,0,1
79.0,50.0,64.5,5.82,0,50.3,0,1,1,0,1,1
60.8,67.9,55.3,7.02,0,73.2,0,2,0,0,2,1
83.5,66.1,59.0,7.31,0,64.3,0,1,1,0,0,0
100.0,60.5,94.6,6.89,1,65.4,1,0,0,1,0,0
99.2,54.1,95.7,6.29,2,56.0,0,1,1,1,0,1
100.0,66.4,65.5,7.44,1,59.8,2,2,1,2,2,0
65.8,68.1,70.8,7.82,1,51.9,0,1,1,1,0,1
57.2,40.0,46.9,5.67,0,51.8,0,1,1,0,0,1
72.7,78.4,74.5,9.18,0,73.0,0,1,1,0,0,0
76.0,51.4,67.5,7.06,2,55.9,0,2,1,2,1,1
94.7,62.1,81.6,7.23,1,59.3,2,1,1,0,0,0
44.5,65.8,44.3,8.19,0,82.7,0,1,0,0,1,1
100.0,84.3,97.1,7.53,1,82.0,1,2,1,2,0,0
72.2,72.2,53.1,8.53,0,74.8,0,2,1,1,0,0
67.3,53.4,68.2,7.6,3,62.6,0,1,1,0,0,1
56.8,52.8,65.8,6.34,1,47.5,0,1,1,2,2,1
45.2,69.7,53.8,7.71,0,69.9,0,1,1,2,1,1
89.8,61.0,100.0,5.6,0,62.3,0,0,1,0,1,0
76.3,57.8,63.1,7.35,2,62.1,0,2,1,2,0,1
51.8,48.1,60.8,7.15,2,45.6,2,1,1,0,1,1
51.7,65.3,50.1,6.91,0,65.0,0,2,1,1,0,1
69.0,48.6,75.6,7.02,1,68.1,0,0,1,2,1,1
100.0,35.3,84.9,4.57,1,30.4,0,1,1,2,1,1
70.3,52.6,60.4,6.43,2,57.7,0,0,1,0,0,1
47.9,61.7,61.6,7.33,1,66.8,2,1,1,0,0,1
70.6,68.6,59.5,7.42,1,63.9,0,1,1,0,1,1
70.1,43.5,49.9,5.76,1,45.6,0,1,0,1,1,1
26.5,74.1,28.4,8.97,2,83.9,0,0,1,0,1,1
74.0,50.8,73.0,5.99,3,50.1,0,0,1,1,1,1
70.8,73.9,78.5,8.56,1,63.1,0,0,1,0,1,0
87.5,67.1,77.4,7.8,1,53.0,0,0,1,1,0,0
100.0,57.0,98.2,6.3,1,64.2,0,1,1,0,1,0
95.3,89.1,68.1,9.69,1,86.8,0,1,1,1,1,0
70.2,50.1,59.7,5.53,1,49.8,1,1,1,0,0,1
55.1,75.8,50.7,8.49,0,69.8,0,1,1,0,0,1
100.0,60.4,83.9,8.6,0,70.1,1,0,1,2,0,0
76.1,53.6,69.1,6.26,4,47.6,0,0,0,1,1,1
75.3,81.6,74.6,9.15,1,75.2,1,0,1,0,0,0
74.6,64.1,62.7,6.85,1,45.0,0,2,0,0,0,1
78.6,59.1,71.4,7.6,1,60.7,0,1,1,1,0,1
72.4,59.0,65.2,7.56,1,63.3,0,0,1,0,0,1
64.7,55.0,51.0,7.01,1,65.4,0,0,1,1,0,1
65.2,75.1,59.5,8.34,1,71.4,0,2,1,1,0,1
74.4,78.9,65.7,8.31,1,77.1,0,1,1,0,0,0
65.2,37.1,59.0,4.75,1,52.5,0,1,0,1,1,1
62.2,84.0,58.8,9.03,1,84.6,0,1,1,1,0,0
76.9,42.4,69.6,4.87,3,47.3,0,0,1,2,4,1
70.4,72.5,60.0,8.65,1,74.2,1,2,1,0,1,1
100.0,72.9,97.7,8.78,0,68.4,0,1,1,1,0,0
27.3,54.2,22.4,5.67,0,55.6,0,1,1,0,1,1
94.6,58.9,74.0,6.62,1,69.8,0,2,1,1,1,0
97.4,66.2,100.0,5.65,1,52.6,0,1,1,2,0,0
37.7,51.8,31.0,6.9,0,73.6,0,0,1,0,1,1
68.8,61.7,49.6,6.77,1,48.5,1,1,1,2,0,1
68.3,66.2,70.2,8.29,1,63.3,0,0,1,1,1,1
49.7,69.8,29.0,9.03,2,83.3,0,0,1,2,1,1
61.0,77.7,55.3,9.15,1,80.1,0,1,1,1,0,0
55.0,55.6,75.0,6.41,2,65.5,0,0,1,0,1,1
100.0,82.1,69.6,6.91,2,60.1,1,2,1,0,0,0
91.8,39.7,59.5,4.84,0,37.7,1,2,1,0,0,1
97.9,42.6,68.5,6.07,3,52.1,0,0,0,0,1,1
88.0,74.9,85.6,8.55,2,62.7,0,1,1,1,1,0
54.7,63.8,64.5,9.46,2,72.8,0,2,1,1,1,1
65.6,45.8,55.8,5.47,0,55.6,0,1,1,2,0,1
83.8,54.3,80.5,6.37,0,62.1,0,1,1,1,0,0
53.0,67.2,66.0,7.16,0,64.8,0,1,1,1,1,1
87.8,72.3,94.4,7.59,1,53.7,0,1,1,2,0,0
70.7,47.5,62.0,6.07,1,51.0,0,1,1,2,1,1
68.3,65.0,39.8,7.79,1,58.8,0,2,1,0,2,1
87.8,49.4,68.2,6.54,0,65.5,1,1,1,1,1,1
83.0,52.0,68.8,7.18,0,58.4,0,2,0,0,0,1
68.5,70.2,60.4,7.96,1,61.1,1,0,1,0,0,1
95.9,51.1,80.2,7.21,0,62.9,0,2,1,0,0,0
55.5,52.7,65.1,6.59,2,53.2,0,1,1,1,0,1
86.1,51.9,88.0,7.05,4,71.8,1,1,1,1,0,1
85.7,64.5,73.3,7.08,0,56.5,1,1,1,1,0,0
69.4,71.2,74.6,6.68,2,48.7,0,0,1,2,1,1
80.9,47.7,75.2,6.84,4,44.6,0,0,1,0,0,1
52.5,65.4,52.4,9.44,0,80.3,1,0,1,1,0,1
91.6,66.9,88.2,7.99,1,64.9,0,0,1,1,0,0
71.7,57.8,65.9,6.79,0,49.3,0,1,1,0,0,1
65.6,71.2,81.5,8.18,1,78.7,2,1,1,1,0,0
93.9,53.7,66.3,6.73,0,63.5,0,1,1,0,3,0
62.3,73.6,53.5,8.84,0,75.5,0,0,1,2,0,0
49.6,68.5,48.5,7.72,2,76.3,0,2,1,0,0,1
47.0,68.2,52.3,7.05,0,66.0,0,1,1,0,1,1
85.9,50.9,87.8,7.83,2,61.9,0,2,0,1,0,1
52.0,39.6,51.1,5.0,1,37.7,0,1,1,0,0,1
100.0,49.5,70.8,5.62,3,55.7,0,0,1,0,0,1
37.5,39.6,49.7,5.53,4,52.0,0,1,1,1,3,1
100.0,76.8,92.5,7.4,0,65.4,0,1,1,0,1,0
78.8,76.7,50.7,9.63,2,76.1,0,0,1,1,1,0
73.3,84.7,66.2,10.0,0,89.3,2,0,1,1,0,0
65.2,73.2,44.7,8.09,1,64.5,0,0,1,1,1,1
82.2,62.4,65.9,7.9,1,67.5,2,0,1,1,2,0
74.3,25.0,58.0,4.68,1,52.6,0,1,1,0,0,1
94.9,51.3,89.5,6.44,1,51.9,1,1,1,0,0,1
77.1,60.1,70.1,6.1,0,42.8,0,0,1,1,1,1
77.7,51.1,56.5,6.33,2,48.3,0,1,1,2,0,1
68.5,52.4,71.7,6.96,3,67.7,1,1,0,0,0,1
74.0,63.0,52.4,6.54,2,59.1,1,0,1,1,0,1
80.5,35.0,74.7,4.43,0,39.5,0,0,0,1,1,1
44.2,66.0,37.8,8.25,1,67.4,0,0,1,1,0,1
50.7,49.6,46.9,5.7,0,54.0,0,1,1,1,1,1
88.4,70.2,81.9,7.53,1,59.3,1,0,1,0,0,0
78.1,100.0,74.9,10.0,1,87.1,0,1,1,1,0,0
71.7,56.9,78.6,5.91,3,47.2,0,1,1,0,0,1
75.3,40.4,66.9,3.66,3,28.0,0,1,1,1,0,1
81.3,53.7,74.9,6.8,2,54.9,0,0,1,1,4,1
65.3,66.1,56.3,8.74,0,72.3,1,1,1,1,0,0
61.0,85.0,59.5,9.94,1,84.2,0,1,1,0,0,0
78.5,47.4,74.4,5.48,1,50.5,0,2,1,2,1,1
57.4,58.5,54.2,7.9,2,42.3,0,1,1,2,0,1
82.3,54.3,54.6,6.55,3,51.7,0,1,1,1,0,1
44.4,63.1,49.4,7.05,1,58.7,0,1,1,1,0,1
93.5,87.9,84.1,10.0,3,95.5,0,1,1,0,0,0
83.5,47.3,66.7,5.1,1,38.2,2,2,1,2,1,1
79.6,66.5,57.9,7.56,0,66.6,0,0,0,1,1,1
92.7,62.7,94.6,7.85,2,78.3,0,2,1,2,3,0
100.0,70.0,89.9,8.72,1,65.6,0,1,1,0,0,0
93.3,52.8,78.0,7.34,2,66.5,0,1,1,0,0,1
41.9,79.1,32.9,7.63,2,60.4,2,0,1,2,0,1
52.0,56.6,43.2,6.65,3,54.7,0,1,1,1,1,1
63.8,62.6,72.7,7.58,0,60.0,0,1,1,0,0,1
75.5,49.7,69.2,6.72,3,53.6,0,0,1,0,0,1
84.3,92.1,68.5,8.07,2,88.6,0,0,0,1,0,0
61.9,48.2,63.5,6.68,2,64.4,0,2,1,0,2,1
78.4,62.3,61.7,7.73,3,74.5,1,1,1,1,0,1
61.4,64.2,73.0,7.16,0,65.7,0,1,1,1,1,1
64.0,79.4,73.3,8.78,1,64.0,0,0,1,1,0,0
49.7,68.3,45.1,7.13,2,64.8,0,1,1,0,2,1
58.4,54.6,49.6,4.72,0,50.3,0,1,1,2,0,1
50.7,80.3,24.3,8.97,2,70.8,0,1,1,0,0,1
57.4,42.0,40.4,5.93,1,59.2,1,1,1,1,0,1
94.0,51.4,67.4,6.28,1,60.2,0,1,1,0,0,1
57.9,56.6,56.9,6.37,2,68.9,0,1,0,1,0,1
100.0,94.1,81.7,9.12,0,75.1,0,0,1,2,0,0
83.9,24.6,60.3,4.21,1,31.0,1,2,1,1,0,1
78.3,94.6,67.0,10.0,0,82.5,0,1,1,1,0,0
59.5,75.2,61.7,8.68,2,84.5,1,1,0,1,0,1
87.6,70.6,81.6,7.51,2,52.3,0,1,1,1,0,0
64.6,59.7,41.3,7.12,2,47.5,2,2,1,2,1,1
77.2,57.9,67.8,7.6,1,66.4,0,0,1,2,0,1
100.0,73.4,71.2,7.93,2,65.3,0,0,0,0,1,0
73.3,74.1,75.3,8.1,2,69.9,0,1,0,2,1,1
95.7,75.6,89.8,7.98,2,75.4,0,1,1,0,1,0
62.3,62.2,49.7,7.33,0,59.7,0,1,1,0,1,1
74.4,54.1,59.4,6.92,1,47.3,0,0,1,0,2,1
100.0,46.9,80.4,6.99,0,75.2,0,1,1,0,0,0
63.7,65.4,37.1,6.93,3,53.4,0,0,1,1,0,1
100.0,78.1,88.4,8.79,0,67.9,2,0,1,2,0,0
87.7,60.5,73.7,8.03,0,77.0,0,2,1,1,0,0
64.9,21.9,70.1,3.08,2,27.0,1,1,1,1,2,1
86.4,65.3,64.5,8.12,0,69.5,0,1,1,1,0,0
92.5,51.7,73.6,7.47,1,68.2,0,0,1,1,0,0
86.2,54.4,60.3,7.17,1,70.0,0,1,1,0,1,1
46.7,47.5,37.7,6.66,1,55.9,0,1,1,1,2,1
61.9,71.3,46.5,8.77,0,85.8,2,2,0,1,0,1
70.5,66.6,74.3,8.53,1,58.3,0,2,1,1,0,0
73.7,39.0,59.6,6.12,0,59.3,1,1,1,1,1,1
86.2,82.2,76.6,7.77,0,61.3,2,1,1,2,1,0
78.2,59.7,65.9,5.84,0,61.3,0,1,0,0,1,1
51.0,38.6,38.0,5.27,2,48.1,2,1,1,0,1,1
81.8,55.9,70.6,6.32,1,50.9,0,0,1,1,1,1
86.0,74.8,81.2,8.41,3,76.9,2,1,1,1,0,0
85.1,82.1,62.5,8.53,3,79.5,0,0,1,2,2,0
94.5,60.8,89.2,7.92,2,72.8,0,0,1,0,1,0
90.0,78.6,69.5,8.22,3,63.5,2,0,1,0,1,1
83.3,63.0,68.5,7.92,1,65.0,0,1,1,2,1,0
73.7,42.9,71.9,6.3,0,55.4,0,1,1,1,0,1
45.1,72.1,39.9,7.8,1,67.1,0,1,1,1,0,1
82.7,81.1,73.3,8.32,1,76.8,0,1,1,0,0,0
78.7,90.9,67.0,8.26,1,56.9,0,0,1,0,1,0
79.9,65.8,72.2,8.86,1,78.3,1,1,1,1,2,0
52.0,75.2,27.6,8.19,0,68.5,0,0,1,0,1,1
55.5,62.1,35.6,7.69,0,60.7,0,1,0,2,0,1
94.0,80.2,86.9,8.7,0,69.4,0,2,1,1,0,0
74.3,49.1,77.4,7.16,1,60.8,0,0,1,0,0,1
87.3,40.6,67.0,5.97,1,27.5,0,0,1,1,1,1
75.5,53.1,65.4,6.97,3,55.9,1,1,1,1,1,1
75.5,53.0,70.8,6.16,0,48.1,2,2,1,0,1,1
91.9,48.0,86.3,6.25,1,58.8,0,1,1,0,0,1
65.7,64.8,40.7,7.0,0,55.3,0,2,1,1,1,1
76.7,60.0,59.9,6.09,0,52.2,2,1,1,1,1,1
66.7,62.3,58.3,6.77,1,69.9,1,2,1,1,0,1
67.2,51.6,69.1,4.55,1,48.4,0,0,1,1,1,1
69.4,67.1,88.6,7.5,1,71.3,0,0,1,1,1,1
79.0,51.5,68.0,7.2,0,59.1,2,2,1,1,0,1
66.4,62.4,47.4,6.06,1,57.2,0,2,1,1,0,1
97.6,64.2,87.3,8.12,2,68.3,0,0,1,1,0,0
58.9,79.6,69.4,8.51,1,71.7,0,0,1,0,0,1
71.6,54.7,66.2,4.95,1,47.5,0,0,1,2,0,1
67.1,55.8,52.9,6.13,1,49.9,0,0,1,1,0,1
100.0,40.1,94.6,6.12,4,64.4,0,0,1,1,1,1
78.5,42.7,76.6,5.88,1,51.0,0,2,1,1,0,1
93.6,81.7,70.2,8.36,0,76.2,0,1,1,0,0,0
